person_id	type	persName	Qualité	Année de naissance	Année de décès	note type=def	note type=Mariette	BNF_URL	data.bnf_URL	IdRéf_URL	VIAF_URL	Wikidata_URL
CoEg_pers_00000042	myth	Osiris	Dieu égyptien					https://catalogue.bnf.fr/ark:/12148/cb11936736v	https://data.bnf.fr/ark:/12148/cb11936736v		https://viaf.org/viaf/61789844	https://www.wikidata.org/wiki/Q46491
CoEg_pers_00000043	contemp	Sauzay, Alexandre	Historien d'art	1803	1870	Entra au Louvre comme commis en 1836 ; en 1861, il devint conservateur adjoint du musée des souverains (Archives nationales, 20150497/115, dossier 47)		https://catalogue.bnf.fr/ark:/12148/cb154854533	https://data.bnf.fr/ark:/12148/cb154854533	https://www.idref.fr/057144532	http://viaf.org/viaf/41688136	https://www.wikidata.org/wiki/Q66101481
CoEg_pers_00000044	contemp	Auguiot, Jean-Baptiste	Fonctionnaire			Entré au Louvre commis en 1829, il y finit sa carrière comme agent comptable en 1852 (dossier de carrière : Archives nationales, 20150497/114, dossier 36)						
CoEg_pers_00000045	hist	Nectanébo II	Roi égyptien			(XXXe dynastie)					https://viaf.org/viaf/45098268	https://www.wikidata.org/wiki/Q313126
CoEg_pers_00000046	contemp	Pastré, Eugène	Homme d'affaires	1806	1868							https://www.wikidata.org/wiki/Q5408576
CoEg_pers_00000047	myth	Ptah	Dieu égyptien			Patron de Memphis		https://catalogue.bnf.fr/ark:/12148/cb11980873x	https://data.bnf.fr/ark:/12148/cb11980873x		https://viaf.org/viaf/15571376	https://www.wikidata.org/wiki/Q146321
CoEg_pers_00000048	contemp	Hékékyan [Bey], Joseph	Haut fonctionnaire égyptien	1807	1875			https://catalogue.bnf.fr/ark:/12148/cb165386095	https://data.bnf.fr/ark:/12148/cb165386095	http://www.idref.fr/148056822	http://viaf.org/viaf/257147724	https://www.wikidata.org/wiki/Q3185073
CoEg_pers_00000049	contemp	Fleury-Hérard				Banquier ordinaire à Paris du corps diplomatique						
CoEg_pers_00000050	contemp	Aïdi					Négociant d'Égypte auprès de qui Mariette pouvait retirer ses fonds au début de sa première mission					
CoEg_pers_00000051	contemp	Brunet de Presle, Wladimir	Historien	1809	1875			https://catalogue.bnf.fr/ark:/12148/cb124629699	https://data.bnf.fr/ark:/12148/cb124629699	https://www.idref.fr/033808821	https://viaf.org/viaf/203410427	https://www.wikidata.org/wiki/Q4097433
CoEg_pers_00000052	contemp	Le Moyne, Auguste	Fils de Le Moyne									
CoEg_pers_00000053	contemp	Le Moyne, madame	Épouse de Le Moyne									
CoEg_pers_00000054	contemp	Bray de Buyser				Membre de la Société orientale (cf. Revue de l’Orient, 1855)	Mariette lui confia une caisse d'objets à rapporter en France					
CoEg_pers_00000055	hist	Artaxerxès III	Roi perse				Mariette utilise le nom « Ochus »					https://www.wikidata.org/wiki/Q192867
CoEg_pers_00000056	contemp	Nisard	Chargé de travaux au Louvre			Peut-être Charles Nisard (1808-1889)		https://catalogue.bnf.fr/ark:/12148/cb11917740x	https://data.bnf.fr/ark:/12148/cb11917740x	http://www.idref.fr/027048497	http://viaf.org/viaf/27069569	https://www.wikidata.org/wiki/Q1065647
CoEg_pers_00000057	hist	Darius Ier le Grand	Roi perse					https://catalogue.bnf.fr/ark:/12148/cb126902644	https://data.bnf.fr/ark:/12148/cb126902644	https://www.idref.fr/050127276	https://viaf.org/viaf/15560660	https://www.wikidata.org/wiki/Q44387
CoEg_pers_00000058	hist	Amasis	Roi égyptien			(XXVIe dynastie)					https://viaf.org/viaf/61941083	https://www.wikidata.org/wiki/Q312045
